f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,treatment,exposure,visit,conversion
1,1,1.518437,1,1.831317,2.543889,1,1.475746,2,0.537843,1.422322,0.667499,0,0,0,0
-1,1,1.097863,1,1.537878,1.636046,2,1.238121,0,4.816663,-1.0,1.43765,0,0,0,0
2,3,0.517148,0,1.390671,0.62061,2,1.009621,1,1.029283,0.514951,0.618626,0,0,0,0
2,1,1.004009,2,0.212249,1.949012,0,3.850582,2,-1.0,1.160824,1.071988,0,0,0,0
0,3,0.489492,1,1.119416,2.972962,0,0.766221,1,-1.0,2.482316,-1.0,0,0,0,0
0,0,0.458233,3,1.104664,0.179053,0,1.001238,2,0.565646,0.364085,0.585527,1,1,1,0
0,3,0.714516,0,0.562136,1.25169,0,4.720872,-1,0.930967,-1.0,7.535258,1,1,0,0
3,3,0.887432,2,0.733924,1.347399,2,-1.0,0,0.504219,0.390179,0.561037,0,0,0,0
2,0,1.035853,3,0.092431,1.304835,1,0.935583,2,0.384592,1.693661,1.146195,0,0,0,0
2,1,2.50022,3,0.33378,1.047267,0,1.879013,0,3.654584,0.633362,3.983185,0,0,0,0
0,0,0.607463,3,2.513877,3.274198,0,1.255193,1,1.216804,0.289807,4.264309,0,0,0,0
-1,2,1.217564,2,5.647409,0.809517,0,0.477536,0,1.370681,-1.0,-1.0,0,0,1,0
3,1,1.125275,4,0.389309,-1.0,-1,1.277751,0,0.278171,0.307173,1.30849,0,0,0,0
0,2,0.544097,1,-1.0,1.371171,1,0.445407,1,-1.0,0.843178,1.071442,0,0,0,0
0,0,1.076528,1,2.99931,0.836884,3,6.213798,1,0.536855,2.088766,3.882032,0,0,0,0
0,0,2.725689,0,0.594393,0.250073,3,1.269695,3,0.437948,1.954502,2.604579,1,1,0,0
1,0,1.205032,0,1.966486,1.238784,1,0.391329,2,1.5957,1.517881,-1.0,0,0,0,0
1,1,1.254308,0,0.966775,1.252894,2,0.675278,-1,0.713292,0.512758,5.126751,1,1,0,0
1,2,0.493946,0,3.288403,0.694082,0,2.137375,2,1.998973,1.746999,1.580864,0,0,0,0
0,3,7.162498,0,0.277357,0.876065,2,0.335837,0,2.055948,-1.0,0.665666,1,1,0,0
2,2,0.522905,0,0.331351,0.041591,0,15.187373,1,0.647256,1.501642,1.420885,1,1,0,0
0,1,0.188665,0,1.32252,3.348144,3,0.233341,1,1.574532,3.937874,1.057717,0,0,1,0
0,-1,2.363596,4,1.100986,2.462138,0,2.52352,1,0.629898,0.303083,0.827729,1,1,0,0
1,2,0.891529,0,0.945233,0.262414,3,0.614707,2,0.454794,1.469956,0.667443,0,0,0,0
1,4,-1.0,2,1.778614,0.508919,0,-1.0,1,-1.0,1.15274,1.729264,0,0,0,0
3,1,0.579521,0,-1.0,4.256816,3,1.712119,1,1.089776,2.57115,-1.0,1,1,0,0
0,0,-1.0,4,0.25425,0.315105,1,0.63511,0,0.476164,5.91988,0.49857,0,0,0,0
1,0,1.425596,3,0.606465,1.613585,2,4.91137,0,3.967537,5.73828,1.371617,1,1,1,0
2,2,1.732822,2,0.678223,0.611392,1,0.246279,0,-1.0,2.304826,5.069609,1,1,0,0
0,0,1.176584,2,0.752957,1.507032,1,1.754666,0,1.607892,0.549533,0.474014,0,0,0,0
2,1,1.310029,0,3.557456,1.051416,2,0.759403,3,1.275721,0.655534,3.931381,0,0,1,0
0,1,4.049626,-1,2.160668,0.753345,4,1.344845,0,1.01875,2.057289,0.417063,1,1,0,0
0,2,0.778135,3,1.704446,1.474799,0,1.672124,2,10.737375,0.276221,-1.0,1,1,0,0
4,2,0.232949,3,1.248571,0.610762,4,0.176998,1,7.116595,0.791764,0.168468,0,0,1,0
-1,0,2.382272,2,0.64779,0.167926,2,1.263653,0,0.814986,0.477976,1.896088,0,0,0,0
3,1,1.643292,1,-1.0,-1.0,3,2.97146,3,0.819635,0.30828,0.801875,0,0,0,1
1,2,1.114025,3,0.302052,0.350688,1,1.594224,2,1.386707,1.281206,0.174678,0,0,0,0
0,-1,1.6012,0,0.499321,0.201067,1,0.691584,0,0.307403,2.20248,0.624257,1,1,0,0
2,2,0.69022,2,0.957986,1.446866,3,0.243216,3,0.165316,1.822665,5.848541,0,0,0,1
1,4,1.020908,0,0.315063,0.841334,1,1.661881,0,0.262381,1.125441,1.768144,0,0,0,0
0,3,0.876604,4,1.184736,-1.0,1,6.528043,0,0.739561,0.703094,1.119619,1,1,1,0
1,2,0.553503,0,0.823297,1.683292,0,1.938412,3,0.388694,-1.0,-1.0,1,1,1,0
0,0,3.284363,0,0.672133,2.130739,0,3.182665,2,4.28387,2.39037,2.745194,0,0,0,0
4,2,0.243592,2,3.194827,1.502187,2,2.542167,0,0.230097,0.599595,4.588949,0,0,0,0
0,2,10.600299,3,0.085382,0.375458,2,0.674976,0,0.263036,-1.0,0.747521,1,1,0,0
2,2,2.404549,2,0.681316,1.785191,2,1.094708,3,0.159705,1.508564,1.809093,1,1,0,0
1,1,0.16898,0,0.095137,1.248328,0,2.383388,1,-1.0,0.374905,1.608128,0,0,0,0
1,1,0.799182,0,1.269423,8.936149,1,0.206033,0,0.671445,-1.0,1.112548,1,1,0,0
1,1,-1.0,3,2.142946,1.00795,1,1.918883,1,0.923523,0.58908,0.829888,0,0,0,0
0,1,-1.0,-1,0.258954,1.466531,1,3.521608,4,0.9658,-1.0,4.972909,0,0,0,0
-1,0,0.371808,3,0.294329,0.909532,3,0.949937,0,0.536983,0.778835,-1.0,0,0,0,0
3,3,1.032544,1,0.182994,-1.0,3,2.256962,3,0.349079,2.126441,0.296,1,1,0,1
4,0,0.885928,4,1.065711,0.981559,0,0.574433,2,1.520223,-1.0,0.05475,0,0,0,0
3,0,0.478252,1,0.711209,0.647508,3,-1.0,1,0.406691,1.34061,2.59653,0,0,0,0
2,1,0.416132,1,0.756801,1.194053,1,0.761007,2,2.184019,2.13602,0.650298,0,0,0,0
4,2,2.506293,1,0.692137,1.862203,2,1.583777,-1,0.22709,-1.0,0.858822,0,0,0,0
0,1,0.183309,1,-1.0,0.657371,0,0.900752,0,0.473235,0.836451,1.503573,1,1,0,0
0,0,-1.0,3,3.101463,-1.0,2,-1.0,0,7.707847,1.744593,11.714325,0,0,0,0
0,2,2.220007,1,1.313034,2.042777,0,0.487665,4,8.833912,0.844982,3.871913,0,0,0,0
1,1,0.803677,1,0.305849,0.414674,1,6.97623,2,0.256388,1.549959,0.797159,0,0,0,0
1,4,1.053769,0,0.496314,0.381483,0,1.763914,1,3.344953,2.8338,2.07659,1,1,0,0
0,4,3.201102,0,0.418086,1.565419,0,0.122711,2,5.020566,1.683101,0.547546,1,1,0,0
3,1,0.494182,2,4.07931,0.555695,0,3.346178,2,2.895383,0.287536,2.168117,0,0,0,0
1,1,0.547906,0,2.036473,0.351442,0,0.315745,3,0.935361,0.608485,0.439264,0,0,0,0
0,2,0.609276,0,0.881183,5.567229,0,-1.0,4,0.145158,1.910885,1.200364,1,1,0,0
1,0,3.206967,2,5.513619,0.380478,2,3.640912,1,1.088398,-1.0,1.241055,0,0,1,0
0,1,3.641129,2,4.271836,0.217927,0,1.10704,0,1.50908,1.382074,0.349392,0,0,0,0
3,1,0.247613,3,0.793969,0.456716,2,0.369024,2,1.269237,1.306504,0.555155,0,0,0,0
0,4,2.735299,1,0.663275,1.260676,0,0.489112,1,-1.0,15.292273,0.113672,1,1,0,0
-1,0,2.268022,3,0.696029,1.076325,4,1.876218,2,0.443925,1.540766,0.684391,0,0,0,0
3,2,4.728438,4,0.38568,6.600949,4,0.321266,1,0.616424,0.897187,-1.0,1,1,0,0
0,2,-1.0,3,5.663117,0.463758,0,0.558839,0,0.091254,3.201673,7.380983,0,0,0,0
0,1,-1.0,2,-1.0,1.266372,2,1.670117,1,2.435669,0.708646,4.444512,1,1,0,0
3,0,3.143122,1,2.382867,3.090982,0,0.521433,2,0.40752,1.043175,0.679969,1,1,0,0
2,-1,2.011546,-1,1.994799,0.51736,4,4.140354,3,0.779511,1.092916,0.993147,1,1,0,0
2,1,9.439457,0,0.737222,-1.0,1,0.354134,1,1.288097,-1.0,0.931249,1,1,1,0
3,2,2.608324,0,6.110723,-1.0,0,0.037323,0,0.570881,0.397212,0.810979,1,1,0,0
0,0,1.165964,1,0.210326,5.805203,1,-1.0,1,0.342147,2.301374,2.649362,0,0,0,0
1,1,0.309096,0,0.923401,2.704069,0,1.363593,3,1.291559,0.591119,0.576118,0,0,0,0
0,1,0.559385,-1,0.613215,0.506275,1,2.371043,1,0.168055,-1.0,4.273347,0,0,0,1
3,0,0.237888,2,2.613246,2.292901,2,0.664721,2,2.152974,0.220224,1.148829,0,0,0,0
2,0,0.806491,2,1.424137,3.717989,1,0.75788,1,1.935649,-1.0,0.311625,0,0,0,0
1,3,2.524562,2,0.177765,0.275638,1,0.969586,0,0.57711,0.131429,0.907365,1,1,0,0
0,0,0.996336,1,3.453815,-1.0,0,5.708249,3,0.610164,19.39182,1.614492,1,1,1,0
1,0,2.777983,0,1.624925,3.842347,0,1.460471,0,0.372409,0.293198,-1.0,1,1,0,0
1,1,1.401543,2,0.355052,1.069801,0,0.61093,1,0.682363,2.138385,2.125967,0,0,0,0
2,3,0.66825,2,0.704914,1.546766,3,7.781624,0,0.81805,2.068938,-1.0,0,0,0,0
2,0,1.091579,1,0.272563,1.07272,0,1.011271,0,0.727261,0.404137,0.595443,0,0,1,0
3,2,1.603352,3,0.842958,-1.0,2,0.125517,1,4.257429,2.16633,5.643297,0,0,0,0
1,0,1.149381,0,1.161971,-1.0,1,0.249867,1,0.173938,0.343355,1.026887,0,0,0,0
0,0,1.162629,0,0.715591,1.112063,0,1.747588,2,0.403321,0.44328,0.321858,0,0,0,0
2,0,0.463453,0,0.637332,0.122249,2,0.169106,2,2.078036,0.209737,0.556876,0,0,0,0
3,3,0.648576,1,0.199341,1.896501,1,1.645511,2,7.806089,1.953571,0.140568,0,0,0,0
2,0,9.56835,3,1.401077,2.073506,1,0.458421,1,-1.0,0.141019,0.196161,1,1,0,0
3,0,3.415987,3,0.145955,-1.0,2,3.24695,2,2.751456,1.482097,-1.0,0,0,1,0
1,1,0.229044,1,1.031568,0.309871,1,1.182361,2,0.316598,0.883729,0.451258,1,1,0,0
1,3,0.093765,2,0.165438,1.677993,1,0.194558,1,0.6775,5.714606,0.503303,0,0,1,0
1,0,1.07917,2,1.051802,1.214491,2,-1.0,2,1.010214,1.033149,2.160288,1,1,0,0
0,1,2.443601,0,0.9939,0.13879,2,3.910235,4,0.501317,2.334897,2.396719,1,1,0,0
0,0,0.594555,0,1.496823,-1.0,0,0.278919,0,0.657549,1.667518,0.312033,0,0,0,0
0,1,2.777799,-1,2.368568,1.368675,1,0.448078,4,0.255739,0.901952,6.629564,0,0,0,0
2,2,1.06147,2,2.850768,1.967329,0,1.652657,0,1.962647,-1.0,1.105886,0,0,0,0
1,2,0.849539,-1,0.199879,0.557485,0,1.977266,1,0.407365,1.462137,1.007821,0,0,0,0
1,1,2.129986,1,0.943456,-1.0,2,10.519657,0,0.514867,2.456393,0.452969,1,1,0,0
4,1,-1.0,2,7.470343,0.415052,3,2.437343,2,0.457516,-1.0,0.740561,0,0,1,0
0,0,0.750732,0,1.126483,3.758138,3,11.031823,0,0.482501,1.696009,7.603493,0,0,1,0
1,1,1.954564,0,0.435462,1.190756,0,1.019601,3,1.155491,2.229448,0.33917,0,0,0,0
3,0,-1.0,1,0.923392,0.512893,1,1.467597,3,1.06475,0.336552,1.306443,0,0,0,0
0,3,6.74483,1,0.681359,0.314648,2,0.566585,2,12.411234,0.928788,0.581332,0,0,0,1
0,-1,2.001357,0,0.308369,0.281707,0,0.592975,1,0.782641,0.175812,0.163709,0,0,0,0
0,-1,1.875385,0,2.384774,6.119955,3,1.15847,4,0.904453,0.204538,0.215269,0,0,0,0
